Date,Price_nom,Div_nom,Earn_nom,Yield_10yr,CPI,Stk_ret,Bnd_ret,Div_yield
1955-01-31,35.6,1.54667,2.83333,2.61,26.7,0.02170114860356498,-0.006571823572836366,0.044228481555619106
1955-02-28,36.79,1.55333,2.89667,2.65,26.7,0.03706303838951297,-0.0012994688837565382,0.04363286516853933
1955-03-31,36.5,1.56,2.96,2.68,26.7,-0.00434900788257675,-0.00040074351672370057,0.04240282685512368
1955-04-30,37.76,1.56333,3.04667,2.75,26.7,0.03808979452054784,-0.0037984621085414005,0.042830958904109595
1955-05-31,37.6,1.56667,3.13333,2.76,26.7,-0.0007797713629943415,0.001405882332552011,0.041490201271186446
1955-06-30,39.78,1.57,3.22,2.78,26.7,0.06145833333333339,0.0005583591751896488,0.04175531914893617
1955-07-31,42.69,1.58667,3.29333,2.9,26.8,0.0764761814982402,-0.007928093759204335,0.039886123680241324
1955-08-31,42.43,1.60333,3.36667,2.97,26.8,-0.002960627000858751,-0.0035529630068982243,0.03755750761302413
1955-09-30,44.34,1.62,3.44,2.97,26.9,0.048197030403016816,0.002441934817956959,0.03818053264199859
1955-10-31,42.11,1.62667,3.5,2.88,26.9,-0.04723599834611347,0.010111602378084061,0.036686287776274244
1955-11-30,44.95,1.63333,3.56,2.89,26.9,0.07067468139001032,0.0015171417747739113,0.038787223937307054
1955-12-31,45.37,1.64,3.62,2.96,26.8,0.012384130515387337,-0.003564090440362988,0.03648498331479421
1956-01-31,44.15,1.67,3.64333,2.9,26.8,-0.023822643450150616,0.007541738840493917,0.036808463742561165
1956-02-29,44.43,1.7,3.66667,2.84,26.8,0.009550773876934704,0.007508632909325019,0.03850509626274066
1956-03-31,47.49,1.73,3.69,2.96,26.8,0.07211718808612799,-0.007848313413659769,0.03893765473778978
1956-04-30,48.05,1.75333,3.66,3.18,26.9,0.014868621464167786,-0.016031656987429255,0.03691998315434828
1956-05-31,46.54,1.77667,3.63,3.07,27.0,-0.028344311481096063,0.011896407420852295,0.03697544224765869
1956-06-30,46.27,1.8,3.6,3.0,27.2,-0.0025784271594326835,0.00845213820503199,0.03867640739149119
1956-07-31,48.78,1.81333,3.55333,3.11,27.4,0.057512661191556846,-0.006799169219635415,0.03919018802679922
1956-08-31,48.49,1.82667,3.50667,3.33,27.3,-0.002824466994669872,-0.01577123413920689,0.03744710947109471
1956-09-30,46.84,1.84,3.46,3.38,27.4,-0.03086547054375466,-0.0014212213212285718,0.03794596824087441
1956-10-31,46.24,1.80667,3.44333,3.34,27.5,-0.009595306717904872,0.006104439428121333,0.038571093082835184
1956-11-30,45.76,1.77333,3.42667,3.49,27.5,-0.007184742647058928,-0.009654105881885533,0.038350562283737025
1956-12-31,46.44,1.74,3.41,3.59,27.6,0.018028846153846256,-0.00535983408176266,0.03802447552447553
1957-01-31,45.43,1.73667,3.40667,3.46,27.6,-0.018632159776055035,0.013702763492269288,0.03739599483204135
1957-02-28,43.47,1.73333,3.40333,3.34,27.7,-0.03996380879007999,0.012830092741880073,0.038153863086066477
1957-03-31,44.03,1.73,3.4,3.41,27.8,0.016198911126447335,-0.0030662883413339337,0.03979756153669197
1957-04-30,45.05,1.73,3.40667,3.48,27.9,0.026440305852070356,-0.0029893847735018575,0.0392913922325687
1957-05-31,46.78,1.73,3.41333,3.6,28.0,0.041601923788383344,-0.007007512348745859,0.03840177580466149
1957-06-30,47.55,1.73,3.42,3.8,28.1,0.019541826991591682,-0.013322697642875858,0.03698161607524583
1957-07-31,48.51,1.74,3.43667,3.93,28.3,0.023238696109358692,-0.00739759866687606,0.03659305993690852
1957-08-31,45.84,1.75,3.45333,3.93,28.3,-0.05203394489108759,0.0032174490479435214,0.03607503607503608
1957-09-30,43.98,1.76,3.47,3.92,28.3,-0.037376381617219456,0.004026347603699909,0.03839441535776614
1957-10-31,41.24,1.77,3.43667,3.97,28.3,-0.05894724874943147,-0.0008250901775744834,0.040245566166439296
1957-11-30,40.35,1.78,3.40333,3.72,28.4,-0.017984157775622345,0.023673908278988964,0.0431619786614937
1957-12-31,40.33,1.79,3.37,3.21,28.4,0.0032011565468814673,0.045791396952462815,0.044361833952912016
1958-01-31,41.12,1.78333,3.29333,3.09,28.6,0.02327326638565186,0.012754496852282138,0.04421844780560377
1958-02-28,41.26,1.77667,3.21667,3.05,28.6,0.007005248865110225,0.005918736294215687,0.04320695525291829
1958-03-31,42.11,1.77,3.14,2.98,28.8,0.024175957343674392,0.008441932950135733,0.04289869122636937
1958-04-30,42.34,1.75667,3.07,2.88,28.9,0.008938237156653317,0.01097190364891043,0.04171621942531465
1958-05-31,43.7,1.74333,3.0,2.92,28.9,0.03555213745866781,-0.0010329191836259133,0.04117453944260746
1958-06-30,44.75,1.73,2.93,2.97,28.9,0.027326468344774923,-0.0018401350569394737,0.03958810068649885
1958-07-31,45.98,1.73,2.91333,3.2,29.0,0.030707635009310952,-0.016843432734001684,0.03865921787709497
1958-08-31,47.7,1.73,2.89667,3.54,28.9,0.040542989705669275,-0.025398269743825086,0.037625054371465856
1958-09-30,48.96,1.73,2.88,3.76,28.9,0.029437456324248767,-0.01503411940419963,0.03626834381551362
1958-10-31,50.95,1.73667,2.88333,3.8,28.9,0.04360135825163414,-0.00017428605198910319,0.03547120098039216
1958-11-30,52.5,1.74333,2.88667,3.74,29.0,0.03327335623159944,0.008009734495076248,0.034216486751717366
1958-12-31,53.49,1.75,2.89,3.86,28.9,0.021634920634920674,-0.006671123782616473,0.03333333333333333
1959-01-31,55.62,1.75667,2.96333,4.02,29.0,0.04255728485075072,-0.009717356616850026,0.032841091792858476
1959-02-28,54.77,1.76333,3.03667,3.96,28.9,-0.012640342203044441,0.008133627084982331,0.03170316432937793
1959-03-31,56.16,1.77,3.11,3.99,28.9,0.02807193719189316,0.00082326959098733,0.03231696184042359
1959-04-30,57.1,1.77667,3.20667,4.12,29.0,0.01937421355650537,-0.007146623773612637,0.031635861823361824
1959-05-31,57.96,1.78333,3.30333,4.31,29.0,0.017663937536485763,-0.011706451672673479,0.031231698774080562
1959-06-30,57.46,1.79,3.4,4.34,29.1,-0.00605302507476424,0.0011455721856252765,0.03088336783988958
1959-07-31,59.74,1.79667,3.41,4.4,29.2,0.042285459450052354,-0.0011934748560219477,0.031268186564566654
1959-08-31,59.4,1.80333,3.42,4.43,29.2,-0.00317580348175428,0.0012281390407771209,0.03018630733177101
1959-09-30,57.05,1.81,3.43,4.68,29.3,-0.03702300785634127,-0.015863995184278834,0.030471380471380472
1959-10-31,57.0,1.81667,3.41667,4.53,29.4,0.0017771983640082478,0.015594243828916943,0.03184347063978966
1959-11-30,57.23,1.82333,3.40333,4.53,29.4,0.00670077485380105,0.0036988176007040074,0.031988245614035085
1959-12-31,59.06,1.83,3.39,4.69,29.4,0.03464092259304574,-0.008764147486622242,0.03197623623973441
1960-01-31,58.03,1.86667,3.39,4.72,29.3,-0.01480603059036012,0.0014933346366714506,0.03160633254317643
1960-02-29,55.78,1.90333,3.39,4.49,29.4,-0.036039792635992884,0.021941774495380262,0.032799069446837845
1960-03-31,55.02,1.94,3.39,4.25,29.4,-0.010726664276323628,0.022767424902156996,0.03477949085693797
1960-04-30,55.73,1.94333,3.34667,4.28,29.5,0.01584776747849248,0.0010904573430525755,0.03532042893493275
1960-05-31,55.22,1.94667,3.30333,4.35,29.5,-0.006240400143549207,-0.0020451421870263387,0.03493037861116095
1960-06-30,57.26,1.95,3.26,4.15,29.6,0.03988591090184723,0.01955023252115029,0.03531329228540384
1960-07-31,55.84,1.95,3.26333,3.9,29.6,-0.0219612294795668,0.02363694897581725,0.034055186866922806
1960-08-31,56.51,1.95,3.26667,3.8,29.6,0.01490866762177645,0.011330574090037127,0.034921203438395415
1960-09-30,54.81,1.95,3.27,3.8,29.6,-0.02720757388072903,0.0031128168457326133,0.034507166873119804
1960-10-31,53.73,1.95,3.27,3.89,29.8,-0.016739646049990897,-0.004178056534613228,0.035577449370552815
1960-11-30,55.47,1.95,3.27,3.93,29.8,0.03540852410199147,-4.871947969342649e-05,0.036292573981016193
1960-12-31,56.8,1.95,3.27,3.84,29.8,0.026906435911303372,0.010526464208292285,0.035154137371552194
1961-01-31,59.72,1.94667,3.21,3.84,29.8,0.05426448063380285,0.0031450241575172733,0.03427235915492958
1961-02-28,62.17,1.94333,3.15,3.78,29.8,0.04373650647465954,0.008032221240861226,0.0325406898861353
1961-03-31,64.12,1.94,3.09,3.74,29.8,0.0339660071846013,0.006361317843299297,0.03120476113881293
1961-04-30,65.83,1.94,3.07,3.78,29.8,0.029190060303597276,-0.00019363262185845276,0.030255770430442915
1961-05-31,66.5,1.94,3.05,3.71,29.8,0.012633551065876603,0.008818309699685889,0.0294698465745101
1961-06-30,65.62,1.94,3.03,3.88,29.8,-0.010802005012531368,-0.010738114239476015,0.029172932330827066
1961-07-31,65.44,1.94667,3.03667,3.92,30.0,-0.0002709158793051669,-5.836702688499784e-05,0.029665803108808286
1961-08-31,67.79,1.95333,3.04333,4.04,29.9,0.0383981891809293,-0.0064399449564824796,0.02984917481662592
1961-09-30,67.26,1.96,3.05,3.98,30.0,-0.005408860697251439,0.008144915925600849,0.028912818999852482
1961-10-31,68.0,1.98,3.09667,3.92,30.0,0.013455248290217048,0.008111062234284816,0.02943800178412132
1961-11-30,71.08,2.0,3.14333,3.94,30.0,0.04774509803921578,0.0015932094393495966,0.029411764705882353
1961-12-31,71.74,2.02,3.19,4.06,30.0,0.01165353592196583,-0.0064143435148352745,0.028418683173888577
1962-01-31,69.07,2.02667,3.25,4.08,30.0,-0.03486354660347546,0.001716898116357557,0.02825020908837469
1962-02-28,70.22,2.03333,3.31,4.04,30.1,0.01910299937261728,0.006554502085010627,0.029438685391631678
1962-03-31,70.29,2.04,3.37,3.93,30.1,0.003417829678154405,0.012199412498944406,0.029051552264312164
1962-04-30,68.05,2.04667,3.40333,3.84,30.2,-0.029441516099966814,0.010526464208292285,0.02911751315976668
1962-05-31,62.99,2.05333,3.43667,3.87,30.2,-0.07184260347783489,0.00071231809241179,0.030173842762674503
1962-06-30,55.63,2.06,3.47,3.91,30.2,-0.11411864317087361,-6.801647290943791e-05,0.032703603746626446
1962-07-31,56.97,2.06667,3.49,4.01,30.3,0.027183579004134373,-0.004851686005753475,0.0371502786266403
1962-08-31,58.52,2.07333,3.51,3.98,30.3,0.030240082499561227,0.0057012880928402065,0.03639336492890995
1962-09-30,58.0,2.08,3.53,3.98,30.4,-0.005923900660742887,0.0032576602600795646,0.03554340396445659
1962-10-31,56.17,2.09667,3.57667,3.93,30.4,-0.02853926724137923,0.007300159707489318,0.03614948275862069
1962-11-30,60.04,2.11333,3.62333,3.92,30.4,0.07203330662868668,0.004026347603699909,0.03762382054477479
1962-12-31,62.64,2.13,3.67,3.86,30.4,0.04626082611592275,0.008077247214655303,0.0354763491005996
1963-01-31,65.06,2.13667,3.68333,3.83,30.4,0.0414759871221797,0.005598663852141694,0.034110312899106
1963-02-28,65.92,2.14333,3.69667,3.92,30.4,0.01596389230453954,-0.004143081657470127,0.032943897940362746
1963-03-31,65.67,2.15,3.71,3.93,30.5,-0.0010745347896441437,0.002400906916034229,0.03261529126213592
1963-04-30,68.76,2.16667,3.75333,3.97,30.5,0.04980289071620736,-1.014825489198401e-05,0.03299329983249581
1963-05-31,70.14,2.18333,3.79667,3.93,30.5,0.02271588375024236,0.006483617575580247,0.031752908667830135
1963-06-30,70.11,2.2,3.84,3.99,30.6,0.0021861039825112893,-0.0016191611935147954,0.03136583974907328
1963-07-31,69.07,2.20333,3.88,4.02,30.7,-0.012214936052869385,0.000850971516245469,0.03142675795179004
1963-08-31,70.98,2.20667,3.92,4.0,30.7,0.03031546498721105,0.004901229530505979,0.03194831330534241
1963-09-30,72.85,2.21,3.96,4.08,30.7,0.028940077017000077,-0.003146496149478706,0.031135531135531132
1963-10-31,73.03,2.23333,3.98,4.11,30.8,0.005025543353923689,0.000933991419802549,0.03065655456417296
1963-11-30,72.62,2.25667,4.0,4.12,30.8,-0.003039082112373803,0.002561174261911603,0.03090058879912365
1963-12-31,74.17,2.28,4.02,4.13,30.9,0.023960341503717952,0.002569599372256537,0.031396309556595975
1964-01-31,76.45,2.29667,4.07333,4.17,30.9,0.03332060356837907,0.0001822551550385576,0.030964945395712554
1964-02-29,77.39,2.31333,4.12667,4.15,30.9,0.014817233485938663,0.005009844586816081,0.03025938521909745
1964-03-31,78.8,2.33,4.18,4.22,30.9,0.020728345608820975,-0.0021849028005899163,0.03010724899857863
1964-04-30,79.94,2.34667,4.23,4.23,30.9,0.01694867808798639,0.0026537956219967462,0.029780076142131982
1964-05-31,80.72,2.36333,4.28,4.2,30.9,0.012220967809190242,0.00585187553593558,0.02956379784838629
1964-06-30,80.24,2.38,4.33,4.17,31.0,-0.003489428477039924,0.005831336068711446,0.02948463825569871
1964-07-31,83.22,2.4,4.37667,4.19,31.1,0.03963110667996017,0.0018139041282567714,0.029910269192422734
1964-08-31,82.0,2.42,4.42333,4.19,31.0,-0.012236641832892747,0.0034263540299779294,0.029079548185532322
1964-09-30,83.41,2.44,4.47,4.2,31.1,0.01967479674796735,0.002628547208083587,0.02975609756097561
1964-10-31,84.85,2.46,4.49667,4.19,31.1,0.019721855892578688,0.004232578980838397,0.02949286656276226
1964-11-30,85.44,2.48,4.52333,4.15,31.2,0.009389118051463363,0.006625443246186524,0.029228049499116088
1964-12-31,83.96,2.5,4.55,4.18,31.2,-0.014883739076154923,0.0009984737343633476,0.029260299625468167
1965-01-31,86.12,2.51667,4.59333,4.19,31.2,0.028224422343973377,0.0026201290791172394,0.02997463077656027
1965-02-28,86.75,2.53333,4.63667,4.21,31.2,0.009766730531042045,0.0018315248384299654,0.029416279609846722
1965-03-31,86.83,2.55,4.68,4.21,31.3,0.0033717579250720497,0.0034424038441494,0.029394812680115272
1965-04-30,87.97,2.57,4.73333,4.2,31.4,0.01559560827670925,0.0042402113720094725,0.029598065184843945
1965-05-31,89.28,2.59,4.78667,4.21,31.4,0.017344928195218046,0.0026369643412895716,0.029441855177901557
1965-06-30,85.04,2.61,4.84,4.21,31.6,-0.04505488351254472,0.0034424038441494,0.029233870967741934
1965-07-31,84.91,2.62667,4.88667,4.2,31.6,0.0010452630134838437,0.0042402113720094725,0.030887464722483535
1965-08-31,86.49,2.64333,4.93333,4.25,31.6,0.021202184666117008,-0.0005448653920561153,0.03113096219526558
1965-09-30,89.38,2.66,4.98,4.29,31.6,0.03597718426022278,0.0002973377938126909,0.03075500057810152
1965-10-31,91.39,2.68,5.05,4.35,31.7,0.024986947117177527,-0.0012451685106211752,0.029984336540613117
1965-11-30,92.15,2.7,5.12,4.45,31.7,0.010777984462194912,-0.004326256910831994,0.029543713754240072
1965-12-31,91.73,2.72,5.19,4.62,31.8,-0.0020980285765960227,-0.009652226474600623,0.02951709169831796
1966-01-31,93.32,2.74,5.24,4.61,31.8,0.01982266797485366,0.004552779571435295,0.02987027144881718
1966-02-28,92.69,2.76,5.29,4.83,32.0,-0.004286326618088254,-0.013257851370293006,0.029575653664809257
1966-03-31,88.88,2.78,5.34,4.87,32.1,-0.03860538713273631,0.0008498419874192198,0.029992447944762107
1966-04-30,91.6,2.79667,5.38,4.75,32.3,0.03322520064506462,0.013290645254690148,0.03146568406840684
1966-05-31,86.78,2.81333,5.42,4.78,32.3,-0.050060653202328886,0.0015480414832425016,0.030713209606986903
1966-06-30,86.06,2.83,5.46,4.81,32.4,-0.00557924252900055,0.0015753743305553236,0.03261120073749712
1966-07-31,85.84,2.85,5.47667,5.02,32.5,0.0002033465024402492,-0.012176103886758938,0.033116430397397166
1966-08-31,80.65,2.87,5.49333,5.22,32.7,-0.05767513202858032,-0.011095454531870663,0.03343429636533085
1966-09-30,77.81,2.89,5.51,5.18,32.7,-0.032227733002686665,0.007292235642060829,0.03583384996900186
1966-10-31,77.13,2.88333,5.52333,5.01,32.9,-0.005651233774579101,0.017256228596498113,0.03705603392880092
1966-11-30,80.99,2.87667,5.53667,5.16,32.9,0.05315340982756389,-0.007339882969468747,0.037296382730455074
1966-12-31,81.33,2.87,5.55,4.84,32.9,0.007151088611762724,0.028947489760869916,0.035436473638720836
1967-01-31,84.45,2.88,5.51667,4.58,32.9,0.04131316857248257,0.024307817902487372,0.03541128734784212
1967-02-28,87.36,2.89,5.48333,4.63,32.9,0.037310045391750535,-0.00016724767658593542,0.034221432800473656
1967-03-31,89.42,2.9,5.45,4.54,33.0,0.026346916971916823,0.010840626205733006,0.033195970695970696
1967-04-30,90.96,2.9,5.41,4.59,33.1,0.01992469991798984,-0.00020685319193758378,0.03243122343994632
1967-05-31,92.59,2.9,5.37,4.85,33.2,0.020576810319554495,-0.016349025602937495,0.031882145998240984
1967-06-30,91.43,2.9,5.33,5.02,33.3,-0.009918277711776002,-0.00907778694129302,0.031320876984555567
1967-07-31,93.01,2.90667,5.32,5.16,33.4,0.019930247183637784,-0.006570455018328869,0.0317912063874002
1967-08-31,94.49,2.91333,5.31,5.28,33.5,0.018522497580905295,-0.004883669271320112,0.03132276099344156
1967-09-30,95.81,2.92,5.3,5.3,33.6,0.016544960666031727,0.002784219086811035,0.03090274103079691
1967-10-31,95.66,2.92,5.31,5.48,33.7,0.0009741502278814984,-0.009185436131140534,0.030476985700866297
1967-11-30,92.66,2.92,5.32,5.75,33.8,-0.028817339187399704,-0.015533814589504646,0.03052477524566172
1967-12-31,95.3,2.92,5.33,5.7,33.9,0.031117346571695848,0.008380449033522419,0.03151305849341679
1968-01-31,95.04,2.93,5.36667,5.53,34.1,-0.000166142007694825,0.017348565795654247,0.030745015739769153
1968-02-29,90.75,2.94,5.40333,5.56,34.2,-0.042561026936026924,0.0022543077083239105,0.030934343434343432
1968-03-31,89.09,2.95,5.44,5.74,34.3,-0.01558310376492189,-0.008813497626881661,0.0325068870523416
